RAJASTHAN ROYALS
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Ajinkya Rahane
Rahul Tripathi
Jason Sangha
Mahipal Lomror
Krishnappa Gowtham
Ankit Sharma
D'Arcy Short
Jofra Archer
Shreyas Gopal
Stuart Binny
Darren Sammy
Sanju Samson
Mohammad Zahir
Umaid Asif
Ish Sodhi
Jaydev Unadkat
Dhawal Kulkarni
Dushmantha Chameera
Zahir Khan Pakteen
Sudhesan Midhun

Rick Jr.ytr
