

IPL UMPIRES 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Sundaram Ravi
Kumar Dharmasena
Anil Chaudhary
Chettithody Shamshuddin
Marais Erasmus
Simon Taufel
Asad Rauf
C. K. Nandan
Billy Doctrove
Vineet Kulkarni
Rudi Koertzen
Rod Tucker
Billy Bowden
Aleem Dar
Bruce Oxenford
Nitin Menon
Sudhir Asnani
Shavir Tarapore
Nigel Llong
Russell Tiffin
Chris Gaffaney
Daryl Harper
Amiesh Saheba	
Krishna Hariharan
Nand Kishore
Richard Illingworth
K. N. Ananthapadmanabhan
Brian Jerling
Johan Cloete
Anil Dandekar
Sanjay Hazare
Virender Sharma
Subrat Das
Krishnaraj Srinath
Ian Howell
Suresh Shastri
Mark Benson
Abhijit Deshmukh
Paul Reiffel
Yeshwant Barde
Rajesh Deshpande
Pashchim Pathak
Gary Baxter
Steve Davis
Arani Jayaprakash
Simon Fry
Tony Hill
G. A. Pratapkumar
Ivaturi Shivram	
Tyron Wijewardene
Krishnamachari Bharatan
Krishnamachari Srinivasan
Shashank Ranade
Subroto Das
Ulhas Gandhe

